h1,h2,h3,h4,w1,w2,w3,w4,class
168.044,155.257,160.902,161.489,132.539,189.578,189.489,134.079,13
170.527,192.394,176.661,152.712,163.754,184.232,185.45,158.852,14
144.425,147.991,219.874,169.133,131.769,180.885,185.542,183.221,15
170.627,192.405,161.873,138.034,161.796,185.079,170.971,145.088,16
150.217,149.069,181.602,160.784,129.539,189.704,158.309,164.113,17
165.58,178.251,174.116,147.9,177.804,156.129,156.323,175.584,18
144.666,216.986,216.986,167.633,216.204,159.763,154.996,215.301,19
190.241,189.584,172.122,150.238,143.875,207.57,207.294,143.44,20
184.272,187.765,193.645,167.668,189.291,175.623,176.406,192.024,21
166.241,165.895,174.683,164.444,168.133,167.801,165.343,169.982,22
175.782,188.428,171.599,159.226,192.04,155.805,157.878,189.306,23
174.472,192.298,219.875,169.133,206.731,164.555,175.177,209.309,24
146.997,207.433,176.302,128.56,181.745,147.646,147.261,182.634,25
